,NameID,Image,Name,Gender,Height,BirthDate,BirthPlace,Bios
0,nm2794962,https://m.media-amazon.com/images/M/MV5BMGFmZDVhZDUtZWIyNC00NzBjLTg0ZGEtY2FhMjJlZWJhZjBlXkEyXkFqcGdeQXVyMTcwNzE4OTI@._V1_.jpg,Hailee Steinfeld,female,172.72,1996-12-11,"Tarzana, Los Angeles, California, USA","Hailee Steinfeld was born on December 11, 1996 in Tarzana, California, to Cheri (Domasin), an interior designer, and Peter Steinfeld, a personal fitness trainer. She has a brother, Griffin. Her uncle is Jake Steinfeld, a fitness trainer, and her great-uncle is actor Larry Domasin. Her father is of Ashkenazi Jewish descent and her mother's ancestry is Filipino, African-American, British Isles, and German. Hailee was raised in Thousand Oaks, California.

At an early age, she appeared in several short films to gain experience. She played the role of Talia Alden in She's a Fox (2009), which received several awards. Her debut in a feature film for theater was True Grit (2010). She played a major role, Mattie Ross, with Jeff Bridges, Josh Brolin, and Matt Damon. She got big attention for her performance in this movie, and she was nominated for the 'Best Supporting Actress' Academy Award. After a short break, she appeared in several films which were released in 2013. She played the role of Juliet in Shakespeare's Romeo and Juliet (2013), which also starred Douglas Booth, and was released in 2013. Also, she appeared in Ender's Game (2013) as Petra Arkanian, based on the book written by Orson Scott Card, and this movie was directed by Gavin Hood. She starred with Asa Butterfield and Harrison Ford, and this movie received positive reviews. She appeared in the short film The Magic Bracelet (2013), with Bailee Madison, as Angela.

In 2014, She appeared in 3 Days to Kill (2014), which was released on February 21, 2014. she played the major role of Zoey Renner, daughter of Kevin Costner. In Hateship Loveship (2013), she played Sabitha with Kristen Wiig. This movie was released on April 11, 2014 in USA. Steinfeld performed the role of Emily Junk in Pitch Perfect 2 (2015). She also starred in Barely Lethal (2015) with Jessica Alba. She filmed the movie, Ten Thousand Saints (2015), as the role of Eliza, again opposite Asa Butterfield.

In 2016, she starred in the teen dramedy The Edge of Seventeen (2016), for which she received a Golden Globe nomination for Best Actress in a Motion Picture - Comedy or Musical.

She has been home-schooled since 2008. Hailee says she is very interested to be on the other side of camera and would like to eventually produce and direct."
1,nm4427331,https://m.media-amazon.com/images/M/MV5BZGNhYTBlYzYtYWE1My00OWFlLThjZWItOTgxMDRiOTc3YTg0XkEyXkFqcGdeQXVyMjI3NjE3MzI@._V1_.jpg,Daniella Pineda,female,165.0,1987-02-20,"Oakland, California, USA","Daniella Pineda is a Mexican-American actress, writer, and comedian from Oakland, California.

In January 2013 it was announced that she was cast as the witch Sophie for season 4 episode 20 of The CW's hit series The Vampire Diaries. This episode serves as a backdoor pilot for a possible spin-off series, revolving around The Originals and taking place in the French Quarter of New Orleans.

Season one of The Originals was set to premiere on Tuesday, October 15. However, on July 29, 2013, The CW announced that the series premiere would instead air on October 3, 2013, following the fifth-season premiere of The Vampire Diaries in order to attract fans of the series. On October 10, 2013, the CW ordered three additional scripts for the series. She was written off as her character was killed off. Daniella has starred in other projects like American Odyssey and The Detour afterwards.

In January 2017, Pineda was cast in a lead role in the Jurassic World sequel.

Pineda graduated from Mills College. She resides in Williamsburg, Brooklyn."
2,nm2180812,https://m.media-amazon.com/images/M/MV5BZWVlYTQ5ZTMtNTU5Yy00N2FhLWFhMGYtNTFiYzQ3NTY5YzA3XkEyXkFqcGdeQXVyMTEzNjk5NTk@._V1_.jpg,Elena Satine,female,167.64,1987-11-24,"Tbilisi, Georgian SSR, USSR [now Republic of Georgia]","Elena Satine hails from the Black Sea coast of the ""Russian Riviera"" in Sochi. She began her professional career at the tender age of 6 when she appeared on the popular Russian children's variety show ""Morning Star"". On a spontaneous trip to New York City, the young actress attended an open call for at the Professional Performing Arts School, and got accepted on the spot. After graduating with honors, Elena continued her dramatic studies at the renowned Moscow Art Theater School."
3,nm5085683,https://m.media-amazon.com/images/M/MV5BOTkyZDQ2MjAtN2Q2Ni00ZDA5LWI3MzgtMmVjZDM4OWU2NGI3XkEyXkFqcGdeQXVyMzQxNjUxMDE@._V1_.jpg,Mckenna Grace,female,150.0,2006-06-25,"Grapevine, Texas, USA","Mckenna Grace was born on June 25, 2006 in Grapevine, Texas, USA. She is known for her work on Gifted (2017), The Handmaid's Tale (2017) and I, Tonya (2017)."
4,nm0683253,https://m.media-amazon.com/images/M/MV5BNDQ5MDIyMjg3NV5BMl5BanBnXkFtZTgwOTU2NTE0NDM@._V1_.jpg,Rosamund Pike,female,173.99,1979-01-27,"Hammersmith, London, England, UK","Born on January 27, 1979 in London, England, actress Rosamund Mary Elizabeth Pike is the only child of a classical violinist mother, Caroline (Friend), and an opera singer father, Julian Pike. Due to her parents' work, she spent her early childhood traveling around Europe. Pike attended Badminton School in Bristol, England and began acting at the National Youth Theatre. While appearing in a National Youth Theatre production of ""Romeo and Juliet"", she was first spotted and signed by an agent, although she continued her education at Wadham College, Oxford, where she read English Literature, eventually graduating with an upper second class honors degree.

Pike appeared in a number of UK television series, including Wives and Daughters (1999), before scoring an auspicious feature film debut as the glacial beauty ""Miranda Frost"" in the James Bond film, Die Another Day (2002); when the film was released, she was only 23. Though her debut was a big-budget action film, the film work that followed was primarily in smaller, independent films, including Promised Land (2004), The Libertine (2004), (for which she won the Best Supporting Actress award at The British Independent Film Awards), and Pride & Prejudice (2005), as one of the Bennet daughters. A brief foray into Hollywood film followed with the action flick, Doom (2005), and the thriller, Fracture (2007), but she returned to smaller films with exceptional performances in three films: An Education (2009), Made in Dagenham (2010), and the lead opposite Paul Giamatti in Barney's Version (2010).

As she continued her stage work in England, Pike appeared in the spy spoof, Johnny English Reborn (2011), and inhabited the role of ""Andromeda"" in the sci-fi epic, Wrath of the Titans (2012). She returned to action films with the female lead opposite Tom Cruise in Jack Reacher (2012).

Pike entered into a relationship with a mathematical researcher named Robie Uniacke in 2009. She gave birth to their first son, named Solo, in May 2012. She returned to acting and landed the coveted title role in Gone Girl (2014). The film became a critical and box-office hit, with Pike earning the film's sole Academy Award nomination as Best Actress. She also earned nominations as Best Actress from Screen Actor's Guild, Golden Globes, and BAFTA. She gave birth to her second son with Uniacke in December 2014."
5,nm0369513,https://m.media-amazon.com/images/M/MV5BZWRiOTdjN2UtY2M1Yy00YzBjLWJmMzQtYTAyZGY4ZGFmZDRkXkEyXkFqcGdeQXVyNDI3NzU1NDE@._V1_.jpg,Cole Hauser,male,185.42,1975-03-22,"Santa Barbara, California, USA","Cole Hauser was born in Santa Barbara, California. He is the son of Cass Warner, who founded a film production company (Warner Sisters), and Wings Hauser, an actor. His grandfathers were screenwriters Dwight Hauser and Milton Sperling, and his maternal great-grandfather was film mogul Harry M. Warner, of Warner Bros. His father is of German, Irish, and Belgian (Walloon) descent, and his mother is from a Jewish family (from Austria, Russia, and Poland). He grew up in California, Oregon and Florida.

Hauser has had a long and impressive career in acting. He made his big screen debut in ""School Ties"" where many other then up and coming actors had their starts. He next went on to star in Richard Linklater's Cult Classic ""Dazed and Confused."" Other feature credits include ""Tigerland,"" for which Cole received an Independent Spirit Award nomination, ""White Oleander"" for which he received a Movieline breakthrough performance also, ""Hart's War,"" ""Tears of the Sun,"" ""Higher Learning,"" and ""Too Fast, Too Furious,"" to name a few.

In 2014 Hauser will be seen in two anticipated projects. This spring he can be seen opposite Johnny Depp in the Warner Bros release of Transcendence (2014). Immediately following he will star in DirecTV's original drama ""Rogue"" opposite Thandie Newton. The show, in its second season has been a big draw for the network. Earlier this year he was seen in Antoine Fuqua's Olympus Has Fallen (2013), an action ensemble which included Aaron Eckhart, Gerald Butler and Morgan Freeman.

Hauser lives outside of Los Angeles with his wife, photographer Cynthia Daniel, and three children."
6,nm1869101,https://m.media-amazon.com/images/M/MV5BMWM3MDMzNjMtODM5Ny00YmY0LWJhNzQtNTE1ZDNlNjllNDQ0XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_.jpg,Ana de Armas,female,168.0,1988-04-30,"Havana, Cuba","Ana de Armas was born in Cuba on April 30, 1988. At the age of 14, she began her studies at the National Theatre School of Havana, where she graduated after 4 years. At the age of 16, she made her first film, Una rosa de Francia (2006), directed by Manuel Gutiérrez Aragón. A few titles came after until she moved to Spain, where she continued her film career, and started on TV. In 2014 she moved to Los Angeles. She has appeared in films such as War Dogs (2016), Hands of Stone (2016) and Blade Runner 2049 (2017)."
7,nm4141252,https://m.media-amazon.com/images/M/MV5BMTgxMjM2NTAyMV5BMl5BanBnXkFtZTgwOTU4NjU2NDE@._V1_.jpg,Lily James,female,170.18,1989-04-05,"Esher, Surrey, England, UK","Lily James was born Lily Chloe Ninette Thomson in Esher, Surrey, to Ninette (Mantle), an actress, and Jamie Thomson, an actor and musician. Her grandmother, Helen Horton, was an American actress. She began her education at Arts Educational School in Tring and subsequently went on to study acting at the Guildhall School of Music and Drama in London, graduating in 2010."
8,nm0792263,https://m.media-amazon.com/images/M/MV5BMTU3NDUyMzE2OF5BMl5BanBnXkFtZTcwMTc0MDQ3MQ@@._V1_.jpg,Taylor Sheridan,male,179.07,,,"Taylor Sheridan is an American actor, screenwriter and director. He is best known for writing the screenplay for 'Sicario' (2015) and 'Hell or high water' (2016), for which he received an Academy Award nomination for Best Original Screenplay.

He also starred in the FX television series 'Sons of anarchy' and directed the film 'Wind river,' starring Jeremy Renner and Elizabeth Olsen."
9,nm2933757,https://m.media-amazon.com/images/M/MV5BYThjM2NlOTItYTUzMC00ODE3LTk1MTItM2I3MDViY2U3MThlXkEyXkFqcGdeQXVyMTg4NDI0NDM@._V1_.jpg,Gal Gadot,female,178.0,1985-04-30,"Rosh Ha'ayin, Israel","Gal Gadot is an Israeli actress, singer, martial artist, and model. She was born in Rosh Ha'ayin, Israel. Her parents are Irit, a teacher, and Michael, an engineer. She served in the IDF for two years, and won the Miss Israel title in 2004.

Gal made her film debut in the fourth film of the Fast and Furious franchise, Fast & Furious (2009), as Gisele. Her role was expanded in the sequels Fast Five (2011) and Fast & Furious 6 (2013), in which her character was romantically linked to Han Seoul-Oh (Sung Kang).

In early December 2013, Gal was cast as Wonder Woman in the superhero team-up film Batman v Superman: Dawn of Justice (2016), and filming began in 2014 for a March 2016 release. Gadot received swordsmanship, Kung Fu kickboxing, Capoeira and Brazilian Jiu-Jitsu training in preparation for the role. As a result, her performance as the superhero, which is the first time for the character on film, was hailed as one of the best parts of the otherwise poorly-received film. The film is part of the DC Extended Universe, and Gadot plays the role again in the solo film Wonder Woman (2017), which was received very positively, and superhero team-up Justice League (2017).

She has been married to Israeli businessman Yaron Varsano since September 28, 2008. They have three daughters."
